rank;actividad;importe;movimientos
132;DIRECT MARKETING-DIRECT MARKETERS,NOT EL;4641;49
133;DIRECT MARKETING-COMBINATION CATALOG&RET;4488;42
134;GRUPO RACC;4454;2
135;ALQUILER Y VENTA DE BIENES INMUEBLES;4424;23
136;FUNERARIAS;4293;1
137;INSTRUMENTOS MUSICALES;4287;194
138;CONTINENTAL;3944;8
139;VENTA BEBIDAS ALCOHOLICAS;3938;6
140;RESTAURANTE 4/5 TENEDORES NIVEL 3;3929;24
141;COLEGIOS ENSE#ANZA PROFESIONAL/AUTOESCUE;3901;15
142;COMIDA RAPIDA;3855;104
143;MALEV;3847;7
144;SUSCRICPION A CANALES PRIVADOS DE TELEVI;3821;26
145;VUELING;3803;17
146;PAGO TRIBUTOS/TASAS ESTAMENTOS OFICIALES;3766;37
147;CONSUMOS DE EMERGENCIA;3674;23
148;BUSINESS SERVICES NOT CLASSIFIED;3579;16
149;SERVICIOS PROFESIONALES NO CLASIFICADOS;3554;13
150;RYANAIR;3552;25
151;HOTELES 4/5 ESTR NIVEL3;3533;21
152;ST.REGIS HOTEL;3491;2
153;MENAJE DEL HOGAR;3491;28
154;RESTAURANTE 4/5 TENEDORES NIVEL 4;3397;18
155;G. SUPERFICIES DE DROGUERIAS NIVEL 4;3353;17
156;SERV.ORG.PUBL.Y GRANDES EMPRESAS;3278;52
157;VIAJES HALCON;3254;8
158;QATAR AIRWAYS;3221;2
159;AGENCIAS PUBLICIDAD,GESTORIAS,SERVICIOS;3119;34
160;MISCELLANEOUS HOUSE FURNISHING SHOPS;3071;12
161;MIRO ESTABLECIMIENTOS;3047;8
162;CASINOS;3046;23
163;HOTELES RESTO NIVEL3;2974;19
164;ESPECTACULOS Y DEPORTES NIVEL 4;2965;12
165;FLOOR COVERING, RUG & CARPET STORES;2942;2
166;GUCCI;2940;2
167;CAPRABO;2929;49
168;WOMEN'S ACCESSORY & SPECIALTY STORES;2884;10
169;USED MERCHANDISE SOTORES;2746;3
170;JOYERIA Y RELOJERIA NIVEL 4;2730;1
171;CHARITABLE AND SOCIAL SERVICES;2720;23
172;RETAIL OPERATING COMPANY;2607;53
173;INTER-CONTINENTAL;2574;14
174;TOURIST ATTRACTIONS AND EXHIBITS;2553;20
175;FERROCARRILES DE CERCANIAS Y AUTOBUSES U;2553;62
176;HOTELES 4/5 ESTR NIVEL2;2518;9
177;MISCELLANEOUS(PERSONAL SERV.NOT CLASSIF);2492;6
178;NESPRESSO;2467;32
179;URENDE;2451;9
180;DISA;2405;40
181;FINNAIR;2386;1
182;ELEMENTARY & SECONDARY SCHOOLS;2330;2
183;HILTON CONRAD;2262;3
184;TRANSPORTES MERCANCIAS,ALMACENAMIENTO Y;2112;73
185;ANTIQUE SHOPS-SALES, REPAIRS & RESTORATI;2098;8
186;GENERAL OPTICA;2008;8
187;CONSUM;1958;32
188;G.SUPERFICIES DE FLORES Y PLANTAS;1952;34
189;JOYERIA Y RELOJERIA NIVEL 2;1840;2
190;"TOYS""R""US";1803;12
191;AER LINGUS;1761;7
192;HOSPITAL SANATORIO NIVEL 4;1734;12
193;BELLAGI0;1680;3
194;ELECTRODOMESTICOS NIVEL 4;1663;5
195;VENTAS A BORDO,LINEAS AEREAS Y FERROCARR;1610;32
196;HERBOLARIOS, PLANTAS MEDICINALES Y PARAF;1605;38
197;HOME SUPPLY WAREHOUSE STORES;1550;8
198;PELETERIAS;1541;11
199;CONFECCION TEXTIL NIVEL 4;1530;12
200;CABINAS TELEFONICAS;1525;22
201;MUEBLES DE COCINA;1481;2
202;SWISS INTERNATIONAL AIRLINES-SWISS AIR;1430;2
203;GLASSWARE & CRYSTAL STORES;1402;10
204;ALCAMPO GASOLINERAS;1401;25
205;METRO;1375;179
206;ART DEALERS & GALLERIES;1367;9
207;HILTON HOTELS;1350;7
208;EDREAMS;1349;19
209;COSMETIC STORES;1340;23
210;FLORES Y PLANTAS NIVEL 2;1320;5
211;HIPER HUSERA;1260;20
212;DISCOUNT STORES;1238;9
213;US AIRWAYS (USAIRWAYS);1199;9
214;METRO DE MADRID TNA;1196;146
215;V.DIST.LIBROS DISCOS N4;1162;18
216;GAME GROUP;1162;16
217;GOLF COURSES - PUBLIC;1156;8
218;CROWNE PLAZA HOTELS;1146;3
219;SN BRUSSELS AIRLINES - SNBRU AIR;1116;9
220;DAPARGEL;1099;9
221;HOTEL MERCURE;1098;1
222;PUJAS ENTIDADES(VENTA DIRECTA);1081;2
223;V.A DIST.ELECTRODOMESTICOS Y ORDENADORES;1077;5
224;RUMBO;1076;12
225;SUSCRIPCIONES PERIODICAS NIVEL 2;1074;4
226;SCHOOLS & EDUCATIONAL SERVICES NOT CLAS.;1067;5
227;HOLIDAY INN EXPRESS;1065;11
228;INSURANCE - SALES & UNDERWRITING;1049;32
229;UNITED AIRLINES;1049;3
230;CONFECCION TEXTIL NIVEL 3;987;6
231;FEU VERT/DELAUTO;962;13
232;SPORTS APPARELL, RIDING APPAREL STORES;957;11
233;ALQUILER DE AUTOMOVILES NIVEL 5;952;5
234;MILLENIUM BROADWAY HOTEL;950;2
235;HEALTH & BEAUTY SPAS;908;4
236;TELEFONICA V EQUIPOS;877;8
237;NOVOTEL HOTELS;865;3
238;BAZARES MAYA;864;2
239;LAVADO DE COCHES;857;12
240;ENTERPRISE RENT A CAR;851;4
241;FOTOGRAFIA NIVEL 3;850;1
242;SUPERM SOL/AHOLD;844;13
243;FOTOGRAFIA NIVEL 4;843;8
244;MUSEOS;840;10
245;EROSKI BIDAIAK;840;1
246;DIRECT MARKETING CONTINUITY/SUBCRIPCION;837;18
247;ZAPATERIA NIVEL 2;820;3
248;PASSENGER RAILWAYS;805;9
249;TRANSPORTE VIAJEROS N4;801;1
250;SUPERMERCADOS MAS Y MAS;786;18
251;H&M;768;5
252;HOTELES,MOTELES,BALNEARIOS/CAMPINGS(TNA);767;4
253;HOTEL ARTS;729;6
254;OPTICIAN & DISPENSING;711;4
255;TIMESHARES;707;2
256;NORAUTO;667;8
257;PRENATAL/CHICCO ESPAðOLA;663;5
258;GARAJES APARCAMIENTOS NIVEL 4;663;81
259;DENTIST, ORTHODONTIST;659;1
260;ONCE;645;3
261;BEAUTY SHOPS & BARBER SHOPS;635;8
262;G.S.MENAJE DE HOGAR;621;3
263;COURIER SERVICES-AIR OR GROUND;616;18
264;LIBRERIAS ,PAPELERIAS NIVEL-2;607;8
265;SWISSOTEL;578;2
266;HELMSLEY HOTELS;576;1
267;ALQUILER DE EMBARCACIONES DE RECREO;574;3
268;COMPUTER & DATA PROCESSING SERVICES;562;2
269;G.SUPERFICIES ELECTRODOMESTICOS;560;3
270;VIAJES CARREFOUR;553;2
271;LUXOR HOTEL AND CASINO;546;1
272;ACESA;545;79
273;EQUIPMENT,TOOL,FURNITURE, AND APPLIANCE;531;4
274;MISCELLANEOUS PUBLISHING&PRINTING;527;4
275;VENTA DE COMBUSTIBLE A DOMICILIO;522;10
276;FERROCARRILES;520;6
277;AUTOMOTIVE SERVICE SHOPS;518;2
278;OBEROI HOTELS;500;4
